<br /><br />I started watching the show in reruns in 2001	[('the show', 'show', 'dobj', 'watching'), ('reruns', 'reruns', 'pobj', 'in')]
I thought the final scene was strange and could not understand if we were to believe that big D was being punished for being greedy or it was part of the plan a long	[('I', 'I', 'nsubj', 'thought'), ('the final scene', 'scene', 'nsubj', 'was'), ('we', 'we', 'nsubj', 'were'), ('big D', 'D', 'nsubjpass', 'punished'), ('it', 'it', 'nsubj', 'was'), ('part', 'part', 'attr', 'was'), ('the plan', 'plan', 'pobj', 'of')]
I loved the scene and for once in a Chinese movie, the violence was not a choreographed martial arts fest	[('I', 'I', 'nsubj', 'loved'), ('the scene', 'scene', 'dobj', 'loved'), ('a Chinese movie', 'movie', 'pobj', 'in'), ('the violence', 'violence', 'nsubj', 'was')]
On thing that always amuses me about HK films is that the main influence the British seem to have had is to introduce 'yes sir' and 'sorry' into the local language and its amusing that long after we have gone, they are still there	[('thing', 'thing', 'pobj', 'On'), ('me', 'me', 'dobj', 'amuses'), ('HK films', 'films', 'pobj', 'about'), ('the main influence', 'influence', 'nsubj', 'seem'), ('the British', 'British', 'nsubj', 'seem'), ('the local language', 'language', 'pobj', 'into'), ('we', 'we', 'nsubj', 'gone'), ('they', 'they', 'nsubj', 'are')]
At the time I recall being quite startled and amused by this movie	[('the time', 'time', 'pobj', 'At'), ('I', 'I', 'nsubj', 'recall'), ('this movie', 'movie', 'pobj', 'by')]
I referred to it as the most important movie I'd seen in ten years, and found myself bumping into people who said similar things	[('I', 'I', 'nsubj', 'referred'), ('it', 'it', 'pobj', 'to'), ('the most important movie', 'movie', 'pobj', 'as'), ('I', 'I', 'nsubj', 'seen'), ('ten years', 'years', 'pobj', 'in'), ('myself', 'myself', 'nsubj', 'bumping'), ('people', 'people', 'pobj', 'into'), ('who', 'who', 'nsubj', 'said'), ('similar things', 'things', 'dobj', 'said')]
<br /><br />Bernhard has an unusually perceptive behavioral notebook	[('br', 'br', 'nsubj', 'has'), ('an unusually perceptive behavioral notebook', 'notebook', 'dobj', 'has')]
And she has shaped the bitter adolescent personality that we all had, into a corrosive, adult world-view	[('she', 'she', 'nsubj', 'shaped'), ('the bitter adolescent personality', 'personality', 'dobj', 'shaped'), ('we', 'we', 'nsubj', 'had'), ('a corrosive, adult world-view', 'view', 'pobj', 'into')]
The two together provide a startling mix which may be too edgy for some viewers	[('a startling mix', 'mix', 'dobj', 'provide'), ('some viewers', 'viewers', 'pobj', 'for')]
I wish you weren't my brother so I could **** you!) <br /><br />Bernhards search for herself after returning to LA from New York, results in the immersive trying-on of various personas (all of which fit poorly) for our amusement, but enough of them involve acting out to appeal to a "black imperative" values system that the real barometer of her resituation is whether black culture accepts her	[('I', 'I', 'nsubj', 'wish'), ('you', 'you', 'nsubj', 'were'), ('my brother', 'brother', 'attr', 'were'), ('I', 'I', 'nsubj', 'could'), ('**** you', 'you', 'ROOT', 'you'), ('herself', 'herself', 'pobj', 'for'), ('LA', 'LA', 'pobj', 'to'), ('New York', 'York', 'pobj', 'from'), ('various personas', 'personas', 'pobj', 'of'), ('our amusement', 'amusement', 'pobj', 'for'), ('them', 'them', 'pobj', 'of'), ('a "black imperative" values system', 'system', 'pobj', 'to'), ('the real barometer', 'barometer', 'nsubj', 'is'), ('her resituation', 'resituation', 'pobj', 'of'), ('black culture', 'culture', 'nsubj', 'accepts'), ('her', 'her', 'dobj', 'accepts')]
And she has an impressive, solidly-built black lover in the movie) A pretty black girl attends the shows, and seems to be authorizing Sandra's faux-blackness, but ultimately rejects her	[('she', 'she', 'nsubj', 'has'), ('an impressive, solidly-built black lover', 'lover', 'dobj', 'has'), ('the movie', 'movie', 'pobj', 'in'), ('A pretty black girl', 'girl', 'nsubj', 'attends'), ('the shows', 'shows', 'dobj', 'attends'), ("Sandra's faux-blackness", 'blackness', 'dobj', 'authorizing'), ('her', 'her', 'dobj', 'rejects')]
<br /><br />Just as Catholics deem themselves lucky to suffer for Christ, here Sandra depicts herself suffering at the hands of a black culture in which she craves a place; as if she cherishes her worthiness and her rejection	[('Catholics', 'Catholics', 'nsubj', 'deem'), ('themselves', 'themselves', 'dobj', 'deem'), ('Christ', 'Christ', 'pobj', 'for'), ('Sandra', 'Sandra', 'nsubj', 'depicts'), ('herself', 'herself', 'dobj', 'depicts'), ('the hands', 'hands', 'pobj', 'at'), ('a black culture', 'culture', 'pobj', 'of'), ('she', 'she', 'nsubj', 'craves'), ('a place', 'place', 'dobj', 'craves'), ('she', 'she', 'nsubj', 'cherishes'), ('her worthiness', 'worthiness', 'dobj', 'cherishes'), ('her rejection', 'rejection', 'conj', 'worthiness')]
It's the only value system implicated in the films world, outside of Bernhards arty confusion	[('It', 'It', 'nsubj', "'s"), ('the only value system', 'system', 'attr', "'s"), ('the films world', 'world', 'pobj', 'in'), ('Bernhards arty confusion', 'confusion', 'pobj', 'of')]
<br /><br />For a nation whose chief issues are racism and money, it's refreshing to see one of the 2 topics dealt with in an atypical way	[('whose chief issues', 'issues', 'nsubj', 'are'), ('racism', 'racism', 'attr', 'are'), ('money', 'money', 'conj', 'racism'), ('it', 'it', 'nsubj', "'s"), ('the 2 topics', 'topics', 'pobj', 'of'), ('an atypical way', 'way', 'pobj', 'in')]
The true measure of any fictional piece of work is whether or not the characters grow from their experiences and emerge from the experience altered in some significant way (note that this change need not be positive or beneficial) at the end	[('The true measure', 'measure', 'nsubj', 'is'), ('any fictional piece', 'piece', 'pobj', 'of'), ('work', 'work', 'pobj', 'of'), ('the characters', 'characters', 'nsubj', 'grow'), ('their experiences', 'experiences', 'pobj', 'from'), ('the experience', 'experience', 'pobj', 'from'), ('some significant way', 'way', 'pobj', 'in'), ('this change', 'change', 'nsubj', 'be'), ('the end', 'end', 'pobj', 'at')]
<br /><br />By that measure, Enchanted April is a resounding success	[('that measure', 'measure', 'nsubj', 'is'), ('Enchanted April', 'April', 'nsubj', 'is'), ('a resounding success', 'success', 'attr', 'is')]
As a film in general, it succeeds quite well-excellent ensemble cast, well-developed characters you come to care about, wonderful script and beautiful sets and locations	[('a film', 'film', 'pobj', 'As'), ('it', 'it', 'nsubj', 'succeeds'), ('quite well-excellent ensemble cast', 'cast', 'dobj', 'succeeds'), ('well-developed characters', 'characters', 'conj', 'cast'), ('you', 'you', 'nsubj', 'come'), ('wonderful script', 'script', 'pobj', 'about'), ('beautiful sets', 'sets', 'conj', 'script'), ('locations', 'locations', 'conj', 'sets')]
Although all the performances are first-rate, three must be mentioned-Josie Lawrence, Jim Broadbent and Joan Plowright	[('all the performances', 'performances', 'nsubj', 'are'), ('first-rate', 'rate', 'attr', 'are')]
It says something when Miranda Richardson does her usual fine work and yet is overshadowed by so many others in the cast	[('It', 'It', 'nsubj', 'says'), ('something', 'something', 'dobj', 'says'), ('Miranda Richardson', 'Richardson', 'nsubj', 'does'), ('her usual fine work', 'work', 'dobj', 'does'), ('so many others', 'others', 'pobj', 'by'), ('the cast', 'cast', 'pobj', 'in')]
Most highly recommended, particularly if you are a romantic at heart	[('you', 'you', 'nsubj', 'are'), ('heart', 'heart', 'pobj', 'at')]
Director / writer Michael Winner's feature is a better than expected offbeat supernatural horror film (although still schlock efficiently catered for), which really does by go unnoticed	[("Director / writer Michael Winner's feature", 'feature', 'nsubj', 'is'), ('offbeat supernatural horror film', 'film', 'dobj', 'expected')]
Sure it might borrow ideas from other similar themed horror movies of this period, but still manages to bring its own psychological imprint to the smokescreen material (of good vs	[('it', 'it', 'nsubj', 'borrow'), ('ideas', 'ideas', 'dobj', 'borrow'), ('other similar themed horror movies', 'movies', 'pobj', 'from'), ('this period', 'period', 'pobj', 'of'), ('its own psychological imprint', 'imprint', 'dobj', 'bring'), ('the smokescreen material', 'material', 'pobj', 'to'), ('good', 'good', 'pobj', 'of')]
evil) and a unique vision that has a fair share of impressively expansive, if somewhat exploitative set-pieces	[('a unique vision', 'vision', 'conj', 'evil'), ('a fair share', 'share', 'dobj', 'has'), ('set-pieces', 'pieces', 'dobj', 'exploitative')]
As a whole it's sketchy, however remains intriguing by instilling an ominous charge without going gang-busters with the scares	[('a whole', 'whole', 'pobj', 'As'), ('it', 'it', 'nsubj', "'s"), ('an ominous charge', 'charge', 'dobj', 'instilling'), ('gang-busters', 'busters', 'dobj', 'going'), ('the scares', 'scares', 'pobj', 'with')]
Actually there's always something going on amongst its busy framework, but it's rather down-played with its shocks steering to soapy patterns and atmospheric tailoring, up until its vividly repellent and grisly climax with a downbeat revelation	[('something', 'something', 'attr', "'s"), ('its busy framework', 'framework', 'pobj', 'amongst'), ('it', 'it', 'nsubj', "'s"), ('its shocks', 'shocks', 'pobj', 'with'), ('soapy patterns', 'patterns', 'pobj', 'to'), ('atmospheric tailoring', 'tailoring', 'conj', 'patterns'), ('a downbeat revelation', 'revelation', 'pobj', 'with')]
Winner's dressed up craftsmanship might feel pedestrian, however it's the ensemble cast that really holds it together as you try to spot the faces	[('Winner', 'Winner', 'nsubj', 'dressed'), ('craftsmanship', 'craftsmanship', 'nsubj', 'feel'), ('pedestrian', 'pedestrian', 'dobj', 'feel'), ('it', 'it', 'nsubj', "'s"), ('the ensemble cast', 'cast', 'attr', "'s"), ('it', 'it', 'dobj', 'holds'), ('you', 'you', 'nsubj', 'try'), ('the faces', 'faces', 'dobj', 'spot')]
Some having more to do with the scheme of things than others, but there's no doubts every one of them are committed, despite the ludicrously crude nature of it all	[('the scheme', 'scheme', 'pobj', 'with'), ('things', 'things', 'pobj', 'of'), ('others', 'others', 'pobj', 'than'), ('no doubts', 'doubts', 'attr', "'s"), ('them', 'them', 'pobj', 'of'), ('the ludicrously crude nature', 'nature', 'pobj', 'despite'), ('it', 'it', 'pobj', 'of')]
It's interesting to see names like Sylvia Miles (who's significantly creepy!), Beverly D'Angelo (likewise), Deborah Raffin, Eli Wallach, Christopher Walken, William Hickey (a neat cameo), Jeff Goldblum, Jerry Orbach and Tom Berenger in bit parts	[('It', 'It', 'nsubj', "'s"), ('names', 'names', 'dobj', 'see'), ('Sylvia Miles', 'Miles', 'pobj', 'like'), ('who', 'who', 'nsubj', "'s"), ("Beverly D'Angelo", "D'Angelo", 'appos', 'who'), ('Deborah Raffin', 'Raffin', 'conj', "D'Angelo"), ('Eli Wallach', 'Wallach', 'conj', 'Raffin'), ('Christopher Walken', 'Walken', 'conj', 'Wallach'), ('William Hickey', 'Hickey', 'conj', 'Walken'), ('a neat cameo', 'cameo', 'appos', 'Hickey'), ('Jeff Goldblum', 'Goldblum', 'conj', "D'Angelo"), ('Jerry Orbach', 'Orbach', 'conj', 'Goldblum'), ('Tom Berenger', 'Berenger', 'conj', 'Orbach'), ('bit parts', 'parts', 'pobj', 'in')]
Then you got a mild-mannered Chris Sarandon and movingly gorgeous Cristina Raines in the leads	[('you', 'you', 'nsubj', 'got'), ('a mild-mannered Chris Sarandon', 'Sarandon', 'dobj', 'got'), ('movingly gorgeous Cristina Raines', 'Raines', 'conj', 'Sarandon'), ('the leads', 'leads', 'pobj', 'in')]
Offering able support José Ferrer, Martin Balsam, Ava Gardner, John Carradine, Burgess Meredith and Arthur Kennedy	[('able support José Ferrer', 'Ferrer', 'dobj', 'Offering'), ('Martin Balsam', 'Balsam', 'appos', 'Ferrer'), ('Ava Gardner', 'Gardner', 'conj', 'Balsam'), ('John Carradine', 'Carradine', 'conj', 'Gardner'), ('Burgess Meredith', 'Meredith', 'conj', 'Carradine'), ('Arthur Kennedy', 'Kennedy', 'conj', 'Meredith')]
The script does throw around many characters, as well as notions but gets disjointedly sidetrack by trying to squeeze all of it in	[('The script', 'script', 'nsubj', 'throw'), ('many characters', 'characters', 'dobj', 'throw'), ('notions', 'notions', 'conj', 'characters'), ('it', 'it', 'pobj', 'of')]
However it's disorienting air works in its favour in establishing the suspicion and deception of what's really going on here	[('it', 'it', 'nsubj', 'disorienting'), ('its favour', 'favour', 'pobj', 'in'), ('the suspicion', 'suspicion', 'dobj', 'establishing'), ('deception', 'deception', 'conj', 'suspicion'), ('what', 'what', 'nsubj', 'going')]
Is there a reason for all of this, and why is it surrounding Raines' character? The emphasis is mainly built upon that moody angle, as it begins to slowly shed light of her inner goings and that of the strange/worrying experiences she encounters when she's moves into her new apartment	[('a reason', 'reason', 'attr', 'Is'), ('it', 'it', 'nsubj', 'surrounding'), ("Raines' character", 'character', 'dobj', 'surrounding'), ('The emphasis', 'emphasis', 'nsubjpass', 'built'), ('that moody angle', 'angle', 'pobj', 'upon'), ('it', 'it', 'nsubj', 'begins'), ('light', 'light', 'dobj', 'shed'), ('her inner goings', 'goings', 'pobj', 'of'), ('the strange/worrying experiences', 'experiences', 'pobj', 'of'), ('she', 'she', 'nsubj', 'encounters'), ('she', 'she', 'nsubj', "'s"), ('moves', 'moves', 'attr', "'s"), ('her new apartment', 'apartment', 'pobj', 'into')]
This is where Winner tries to pull out the eerie shades, which projects some icy moments	[('Winner', 'Winner', 'nsubj', 'tries'), ('the eerie shades', 'shades', 'dobj', 'pull'), ('some icy moments', 'moments', 'dobj', 'projects')]
Gil Melle was the man responsible for the grand, overpowering orchestral score that never misses a cue and Richard C	[('Gil Melle', 'Melle', 'nsubj', 'was'), ('the man', 'man', 'attr', 'was'), ('orchestral score', 'score', 'dobj', 'overpowering'), ('a cue', 'cue', 'dobj', 'misses'), ('Richard C', 'C', 'conj', 'cue')]
Kratina instruments the sweeping, scope-like photography	[('Kratina', 'Kratina', 'nsubj', 'instruments'), ('the sweeping, scope-like photography', 'photography', 'dobj', 'instruments')]
William (Nicholas Ball) and Emma Peters (Rachel Davies) buy an old house where a brutal murder happened years ago in very bad condition with the intention of restoring it	[('William', 'William', 'nsubj', 'buy'), ('Nicholas Ball', 'Ball', 'appos', 'William'), ('Emma Peters', 'Peters', 'conj', 'William'), ('Rachel Davies', 'Davies', 'appos', 'Peters'), ('an old house', 'house', 'dobj', 'buy'), ('a brutal murder', 'murder', 'nsubj', 'happened'), ('very bad condition', 'condition', 'pobj', 'in'), ('the intention', 'intention', 'pobj', 'with'), ('it', 'it', 'dobj', 'restoring')]
They move with their daughter Sophie (Emma RidleY), and become friends of their neighbors Jean (Patricia Maynard) and George Evans (Brian Croucher)	[('They', 'They', 'nsubj', 'move'), ('their daughter', 'daughter', 'pobj', 'with'), ('Sophie', 'Sophie', 'appos', 'daughter'), ('(Emma RidleY', 'RidleY', 'appos', 'Sophie'), ('friends', 'friends', 'attr', 'become'), ('their neighbors', 'neighbors', 'pobj', 'of'), ('Jean', 'Jean', 'appos', 'neighbors'), ('Patricia Maynard', 'Maynard', 'appos', 'Jean'), ('George Evans', 'Evans', 'conj', 'friends'), ('(Brian Croucher', 'Croucher', 'appos', 'Evans')]
However, eerie events happen in the house, inclusive the death of Sophie's cat	[('eerie events', 'events', 'nsubj', 'happen'), ('the house', 'house', 'pobj', 'in'), ('the death', 'death', 'dobj', 'inclusive'), ("Sophie's cat", 'cat', 'pobj', 'of')]
In Sophie's birthday party, a pipe leaks blood and they leave the place, disclosing a secret later	[("Sophie's birthday party", 'party', 'pobj', 'In'), ('they', 'they', 'nsubj', 'leave'), ('the place', 'place', 'dobj', 'leave'), ('a secret', 'secret', 'dobj', 'disclosing')]
<br /><br />"The House That Bled to Death" is a scary and one of the best episodes of the series "Hammer House of Horror"	[('House', 'House', 'nsubj', 'is'), ('Death', 'Death', 'pobj', 'to'), ('the best episodes', 'episodes', 'pobj', 'of'), ('the series', 'series', 'pobj', 'of'), ('Hammer House', 'House', 'appos', 'series'), ('Horror', 'Horror', 'pobj', 'of')]
The fantastic twist, disclosing a secret, and the tragic conclusion are really excellent	[('The fantastic twist', 'twist', 'nsubj', 'are'), ('a secret', 'secret', 'dobj', 'disclosing'), ('the tragic conclusion', 'conclusion', 'nsubj', 'are')]
<br /><br />Title (Brazil): "A Casa Que Sangrou Até Morrer" ("The House That Bled to Death"	[('(Brazil', 'Brazil', 'ROOT', 'Brazil'), (': "A Casa Que Sangrou Até Morrer', 'Morrer', 'appos', 'Brazil'), ('The House', 'House', 'appos', 'Morrer'), ('Death', 'Death', 'pobj', 'to')]
Kubrick proved his brilliantness again, now in a suspense-horror film based on Stephen King's book titled the same way	[('Kubrick', 'Kubrick', 'nsubj', 'proved'), ('a suspense-horror film', 'film', 'pobj', 'in'), ("Stephen King's book", 'book', 'pobj', 'on')]
Jack Torrance is a man in his forties, married, with one child, and with a past of trouble and alcoholism	[('Jack Torrance', 'Torrance', 'nsubj', 'is'), ('a man', 'man', 'attr', 'is'), ('his forties', 'forties', 'pobj', 'in'), ('one child', 'child', 'pobj', 'with'), ('a past', 'past', 'pobj', 'with'), ('trouble', 'trouble', 'pobj', 'of'), ('alcoholism', 'alcoholism', 'conj', 'trouble')]
