<br /><br />I started watching the show in reruns in 2001	['<', 'br', '/', '>', '<', 'br', '/', '>', 'I', 'started', 'watching', 'the', 'show', 'in', 'reruns', 'in', '2001']
His anarchy is playful but not completely loaded with semantics or tricks that could put off the less initiated viewer	['His', 'anarchy', 'is', 'playful', 'but', 'not', 'completely', 'loaded', 'with', 'semantics', 'or', 'tricks', 'that', 'could', 'put', 'off', 'the', 'less', 'initiated', 'viewer']
<br /><br />If I Am Curious (Yellow) stands up as an intellectual enterprise and a full-blown trip into exploring sex in a manner that was and is captivating for how much is shown and how comfortable it all seems to be for the actors, it isn't entirely successful, I think, as an emotional experience	['<', 'br', '/', '>', '<', 'br', '/', '>', 'If', 'I', 'Am', 'Curious', '(', 'Yellow', ')', 'stands', 'up', 'as', 'an', 'intellectual', 'enterprise', 'and', 'a', 'full-blown', 'trip', 'into', 'exploring', 'sex', 'in', 'a', 'manner', 'that', 'was', 'and', 'is', 'captivating', 'for', 'how', 'much', 'is', 'shown', 'and', 'how', 'comfortable', 'it', 'all', 'seems', 'to', 'be', 'for', 'the', 'actors', ',', 'it', 'is', "n't", 'entirely', 'successful', ',', 'I', 'think', ',', 'as', 'an', 'emotional', 'experience']
Where Bergman had it down to a T with making a purely emotional film with deconstruction tendencies, Sjoman is more apt at connecting with specific ideas while not actually directing always very well when it comes time to do big or subtle scenes with the actors	['Where', 'Bergman', 'had', 'it', 'down', 'to', 'a', 'T', 'with', 'making', 'a', 'purely', 'emotional', 'film', 'with', 'deconstruction', 'tendencies', ',', 'Sjoman', 'is', 'more', 'apt', 'at', 'connecting', 'with', 'specific', 'ideas', 'while', 'not', 'actually', 'directing', 'always', 'very', 'well', 'when', 'it', 'comes', 'time', 'to', 'do', 'big', 'or', 'subtle', 'scenes', 'with', 'the', 'actors']
Occasionally it works if only for the actors, Lena Nyman (mostly spectacular here in a performance that asks of her to make an ambitious but confused kid into someone sympathetic and vulnerable even) and Borje Ahlstedt (a great realistic counterpoint to the volatile Lena), but some 40 years later its hard to completely connect with everything that happens in the inner-film of Lena and Borje since (perhaps intentionally) Sjoman fills it up with clichés (Borje has a girlfriend and kid, will he leave her, how will Lena reconcile her father) and a heavy-handed narration from his starlet of sorts	['Occasionally', 'it', 'works', 'if', 'only', 'for', 'the', 'actors', ',', 'Lena', 'Nyman', '(', 'mostly', 'spectacular', 'here', 'in', 'a', 'performance', 'that', 'asks', 'of', 'her', 'to', 'make', 'an', 'ambitious', 'but', 'confused', 'kid', 'into', 'someone', 'sympathetic', 'and', 'vulnerable', 'even', ')', 'and', 'Borje', 'Ahlstedt', '(', 'a', 'great', 'realistic', 'counterpoint', 'to', 'the', 'volatile', 'Lena', ')', ',', 'but', 'some', '40', 'years', 'later', 'its', 'hard', 'to', 'completely', 'connect', 'with', 'everything', 'that', 'happens', 'in', 'the', 'inner-film', 'of', 'Lena', 'and', 'Borje', 'since', '(', 'perhaps', 'intentionally', ')', 'Sjoman', 'fills', 'it', 'up', 'with', 'clichés', '(', 'Borje', 'has', 'a', 'girlfriend', 'and', 'kid', ',', 'will', 'he', 'leave', 'her', ',', 'how', 'will', 'Lena', 'reconcile', 'her', 'father', ')', 'and', 'a', 'heavy-handed', 'narration', 'from', 'his', 'starlet', 'of', 'sorts']
<br /><br />And yet, for whatever faults Sjoman may have, ironically considering he means it to be a comment on itself, I Am Curious (Yellow) holds up beautifully as an artistic experiment in testing the waters of what could be done in Swedish cinema, or testing what couldn't be and bending it for provocative and comedic usage	['<', 'br', '/', '>', '<', 'br', '/', '>', 'And', 'yet', ',', 'for', 'whatever', 'faults', 'Sjoman', 'may', 'have', ',', 'ironically', 'considering', 'he', 'means', 'it', 'to', 'be', 'a', 'comment', 'on', 'itself', ',', 'I', 'Am', 'Curious', '(', 'Yellow', ')', 'holds', 'up', 'beautifully', 'as', 'an', 'artistic', 'experiment', 'in', 'testing', 'the', 'waters', 'of', 'what', 'could', 'be', 'done', 'in', 'Swedish', 'cinema', ',', 'or', 'testing', 'what', 'could', "n't", 'be', 'and', 'bending', 'it', 'for', 'provocative', 'and', 'comedic', 'usage']
I'd even go as far as to say it's influential, and has probably been copied or imitated in more ways than one due to it being such a cult phenomenon at its time (a specific technique used, with the film rewinding towards the end, is echoed in poorer usage in Funny Games), and should be seen by anyone looking into getting into avant-garde or meta-film-making	['I', "'d", 'even', 'go', 'as', 'far', 'as', 'to', 'say', 'it', "'s", 'influential', ',', 'and', 'has', 'probably', 'been', 'copied', 'or', 'imitated', 'in', 'more', 'ways', 'than', 'one', 'due', 'to', 'it', 'being', 'such', 'a', 'cult', 'phenomenon', 'at', 'its', 'time', '(', 'a', 'specific', 'technique', 'used', ',', 'with', 'the', 'film', 'rewinding', 'towards', 'the', 'end', ',', 'is', 'echoed', 'in', 'poorer', 'usage', 'in', 'Funny', 'Games', ')', ',', 'and', 'should', 'be', 'seen', 'by', 'anyone', 'looking', 'into', 'getting', 'into', 'avant-garde', 'or', 'meta-film-making']
If it's not quite as outstanding an artistic leap as W	['If', 'it', "'s", 'not', 'quite', 'as', 'outstanding', 'an', 'artistic', 'leap', 'as', 'W']
I bought the DVD of Before Sunset and saw it for the first time a week ago	['I', 'bought', 'the', 'DVD', 'of', 'Before', 'Sunset', 'and', 'saw', 'it', 'for', 'the', 'first', 'time', 'a', 'week', 'ago']
Having saw it twice, I couldn't help but missing Before Sunrise, not because the sequel was not as great, but I felt that these two movies completed each other like no other sequels ever did, every time I finished watching one of them, I feel the need and yearning to see the other	['Having', 'saw', 'it', 'twice', ',', 'I', 'could', "n't", 'help', 'but', 'missing', 'Before', 'Sunrise', ',', 'not', 'because', 'the', 'sequel', 'was', 'not', 'as', 'great', ',', 'but', 'I', 'felt', 'that', 'these', 'two', 'movies', 'completed', 'each', 'other', 'like', 'no', 'other', 'sequels', 'ever', 'did', ',', 'every', 'time', 'I', 'finished', 'watching', 'one', 'of', 'them', ',', 'I', 'feel', 'the', 'need', 'and', 'yearning', 'to', 'see', 'the', 'other']
So, I ended up spending the weeks watching both of them repeatedly, I will be quite embarrassed to mention how many times exactly	['So', ',', 'I', 'ended', 'up', 'spending', 'the', 'weeks', 'watching', 'both', 'of', 'them', 'repeatedly', ',', 'I', 'will', 'be', 'quite', 'embarrassed', 'to', 'mention', 'how', 'many', 'times', 'exactly']
The most remarkable thing about Before Sunrise is how you feel the development of the feelings of their characters towards each other	['The', 'most', 'remarkable', 'thing', 'about', 'Before', 'Sunrise', 'is', 'how', 'you', 'feel', 'the', 'development', 'of', 'the', 'feelings', 'of', 'their', 'characters', 'towards', 'each', 'other']
It sounds so simple, the growing of the chemistry, I think other romantic films might think that they succeed to track the development, but to me - who doesn't believe in Nora Ephron - Before Sunrise is the first film to really gives the viewers chance to feel it	['It', 'sounds', 'so', 'simple', ',', 'the', 'growing', 'of', 'the', 'chemistry', ',', 'I', 'think', 'other', 'romantic', 'films', 'might', 'think', 'that', 'they', 'succeed', 'to', 'track', 'the', 'development', ',', 'but', 'to', 'me', '-', 'who', 'does', "n't", 'believe', 'in', 'Nora', 'Ephron', '-', 'Before', 'Sunrise', 'is', 'the', 'first', 'film', 'to', 'really', 'gives', 'the', 'viewers', 'chance', 'to', 'feel', 'it']
When I saw it for the first time, about 8 year ago when I was 20, I already liked it	['When', 'I', 'saw', 'it', 'for', 'the', 'first', 'time', ',', 'about', '8', 'year', 'ago', 'when', 'I', 'was', '20', ',', 'I', 'already', 'liked', 'it']
But, I didn't rate it as a "great film", it still seemed to me like another thinking persons' feel good movie, Linklater was too smart to make it more realistic, it was 10 minutes too long, the characters was too well fabricated, I thought I liked it because it was like a dream and because I enjoyed their conversations, etc	['But', ',', 'I', 'did', "n't", 'rate', 'it', 'as', 'a', '``', 'great', 'film', "''", ',', 'it', 'still', 'seemed', 'to', 'me', 'like', 'another', 'thinking', 'persons', "'", 'feel', 'good', 'movie', ',', 'Linklater', 'was', 'too', 'smart', 'to', 'make', 'it', 'more', 'realistic', ',', 'it', 'was', '10', 'minutes', 'too', 'long', ',', 'the', 'characters', 'was', 'too', 'well', 'fabricated', ',', 'I', 'thought', 'I', 'liked', 'it', 'because', 'it', 'was', 'like', 'a', 'dream', 'and', 'because', 'I', 'enjoyed', 'their', 'conversations', ',', 'etc']
But now, thanks to Before Sunset, I feel that's more to Before Sunrise than what I felt for it before	['But', 'now', ',', 'thanks', 'to', 'Before', 'Sunset', ',', 'I', 'feel', 'that', "'s", 'more', 'to', 'Before', 'Sunrise', 'than', 'what', 'I', 'felt', 'for', 'it', 'before']
I saw the elements more clearly: Jesse, Celine, Vienna, their conversations, everything	['I', 'saw', 'the', 'elements', 'more', 'clearly', ':', 'Jesse', ',', 'Celine', ',', 'Vienna', ',', 'their', 'conversations', ',', 'everything']
How each of them are separated element by itself, and they have a chance to mix, the story is just a frame of time, I am no longer feel manipulated	['How', 'each', 'of', 'them', 'are', 'separated', 'element', 'by', 'itself', ',', 'and', 'they', 'have', 'a', 'chance', 'to', 'mix', ',', 'the', 'story', 'is', 'just', 'a', 'frame', 'of', 'time', ',', 'I', 'am', 'no', 'longer', 'feel', 'manipulated']
And the freedom that every scene has, as well as its refusal to be overly efficient, how blind I was that those qualities didn't strike me as exceptional when I first saw it! Now, 8 year have passed, the more movies I've seen, the more I realize that many movies are just collections of ordered scenes that only exist for the sake of its ending, even movies like Pulp Fiction or Linklaters's own Slackers included	['And', 'the', 'freedom', 'that', 'every', 'scene', 'has', ',', 'as', 'well', 'as', 'its', 'refusal', 'to', 'be', 'overly', 'efficient', ',', 'how', 'blind', 'I', 'was', 'that', 'those', 'qualities', 'did', "n't", 'strike', 'me', 'as', 'exceptional', 'when', 'I', 'first', 'saw', 'it', '!', 'Now', ',', '8', 'year', 'have', 'passed', ',', 'the', 'more', 'movies', 'I', "'ve", 'seen', ',', 'the', 'more', 'I', 'realize', 'that', 'many', 'movies', 'are', 'just', 'collections', 'of', 'ordered', 'scenes', 'that', 'only', 'exist', 'for', 'the', 'sake', 'of', 'its', 'ending', ',', 'even', 'movies', 'like', 'Pulp', 'Fiction', 'or', 'Linklaters', "'s", 'own', 'Slackers', 'included']
The Jesse and Celine tale avoid that, maybe Before Sunset is a better example in this case, but Before Sunrise is also one of few films that its ending is just a consequence of time, not a destination, every single scene has its own life	['The', 'Jesse', 'and', 'Celine', 'tale', 'avoid', 'that', ',', 'maybe', 'Before', 'Sunset', 'is', 'a', 'better', 'example', 'in', 'this', 'case', ',', 'but', 'Before', 'Sunrise', 'is', 'also', 'one', 'of', 'few', 'films', 'that', 'its', 'ending', 'is', 'just', 'a', 'consequence', 'of', 'time', ',', 'not', 'a', 'destination', ',', 'every', 'single', 'scene', 'has', 'its', 'own', 'life']
I don't know whether Linklater or anyone else had a sequel in mind when they made Before Sunrise, but to me, one of the most amazing things about these sequels are how these two films visually contrast each other	['I', 'do', "n't", 'know', 'whether', 'Linklater', 'or', 'anyone', 'else', 'had', 'a', 'sequel', 'in', 'mind', 'when', 'they', 'made', 'Before', 'Sunrise', ',', 'but', 'to', 'me', ',', 'one', 'of', 'the', 'most', 'amazing', 'things', 'about', 'these', 'sequels', 'are', 'how', 'these', 'two', 'films', 'visually', 'contrast', 'each', 'other']
Before Sunrise which I think employs more static angels and brighter color schemes, seems to try to capture the smallest atoms of liveliness surrounding Jesse and Celine, the world is always full of hope whether or not the characters feel it	['Before', 'Sunrise', 'which', 'I', 'think', 'employs', 'more', 'static', 'angels', 'and', 'brighter', 'color', 'schemes', ',', 'seems', 'to', 'try', 'to', 'capture', 'the', 'smallest', 'atoms', 'of', 'liveliness', 'surrounding', 'Jesse', 'and', 'Celine', ',', 'the', 'world', 'is', 'always', 'full', 'of', 'hope', 'whether', 'or', 'not', 'the', 'characters', 'feel', 'it']
Meanwhile, I enter the vision of boredom as Jesse stuck talking to the journalists in Before Sunset, and Celine's first smile from behind the shelves are the most heartbreaking smile I've seen in a beginning of a film, and the many moving shots after that takes me to a place I don't know with a sadness in me, no matter how beautiful Paris is, and no matter how happy I am that they meet again	['Meanwhile', ',', 'I', 'enter', 'the', 'vision', 'of', 'boredom', 'as', 'Jesse', 'stuck', 'talking', 'to', 'the', 'journalists', 'in', 'Before', 'Sunset', ',', 'and', 'Celine', "'s", 'first', 'smile', 'from', 'behind', 'the', 'shelves', 'are', 'the', 'most', 'heartbreaking', 'smile', 'I', "'ve", 'seen', 'in', 'a', 'beginning', 'of', 'a', 'film', ',', 'and', 'the', 'many', 'moving', 'shots', 'after', 'that', 'takes', 'me', 'to', 'a', 'place', 'I', 'do', "n't", 'know', 'with', 'a', 'sadness', 'in', 'me', ',', 'no', 'matter', 'how', 'beautiful', 'Paris', 'is', ',', 'and', 'no', 'matter', 'how', 'happy', 'I', 'am', 'that', 'they', 'meet', 'again']
I'm sorry that I go on this long with my limited English, Before Sunrise is already an extraordinary film without me pouring my scattered thoughts, and it gets even better with an equally great sequel following it	['I', "'m", 'sorry', 'that', 'I', 'go', 'on', 'this', 'long', 'with', 'my', 'limited', 'English', ',', 'Before', 'Sunrise', 'is', 'already', 'an', 'extraordinary', 'film', 'without', 'me', 'pouring', 'my', 'scattered', 'thoughts', ',', 'and', 'it', 'gets', 'even', 'better', 'with', 'an', 'equally', 'great', 'sequel', 'following', 'it']
As the celebration of Christmas has evolved through the years, whether one concentrates on the religious or the secular traditions, it is a time when people are supposed to behave a little better to each other	['As', 'the', 'celebration', 'of', 'Christmas', 'has', 'evolved', 'through', 'the', 'years', ',', 'whether', 'one', 'concentrates', 'on', 'the', 'religious', 'or', 'the', 'secular', 'traditions', ',', 'it', 'is', 'a', 'time', 'when', 'people', 'are', 'supposed', 'to', 'behave', 'a', 'little', 'better', 'to', 'each', 'other']
That has somehow slipped past one Ebenezer Scrooge, merchant and money lender in 19th century London	['That', 'has', 'somehow', 'slipped', 'past', 'one', 'Ebenezer', 'Scrooge', ',', 'merchant', 'and', 'money', 'lender', 'in', '19th', 'century', 'London']
<br /><br />As his nephew points out to his uncle, he doesn't keep Christmas in any way because Scrooge feels the whole thing is humbug	['<', 'br', '/', '>', '<', 'br', '/', '>', 'As', 'his', 'nephew', 'points', 'out', 'to', 'his', 'uncle', ',', 'he', 'does', "n't", 'keep', 'Christmas', 'in', 'any', 'way', 'because', 'Scrooge', 'feels', 'the', 'whole', 'thing', 'is', 'humbug']
The humanity in Scrooge was driven out long ago, he's a hard case, a whole lot like his 20th Century counterpart, Mr	['The', 'humanity', 'in', 'Scrooge', 'was', 'driven', 'out', 'long', 'ago', ',', 'he', "'s", 'a', 'hard', 'case', ',', 'a', 'whole', 'lot', 'like', 'his', '20th', 'Century', 'counterpart', ',', 'Mr']
<br /><br />But as Charles Dickens told this tale, redemption is not too late for any of us and a lonely ghost and three spirits visit Scrooge and show him how	['<', 'br', '/', '>', '<', 'br', '/', '>', 'But', 'as', 'Charles', 'Dickens', 'told', 'this', 'tale', ',', 'redemption', 'is', 'not', 'too', 'late', 'for', 'any', 'of', 'us', 'and', 'a', 'lonely', 'ghost', 'and', 'three', 'spirits', 'visit', 'Scrooge', 'and', 'show', 'him', 'how']
<br /><br />A Christmas Carol is such a timeless holiday classic that we sometimes forget that it is as much a social commentary of 19th century Great Britain as Oliver Twist was	['<', 'br', '/', '>', '<', 'br', '/', '>', 'A', 'Christmas', 'Carol', 'is', 'such', 'a', 'timeless', 'holiday', 'classic', 'that', 'we', 'sometimes', 'forget', 'that', 'it', 'is', 'as', 'much', 'a', 'social', 'commentary', 'of', '19th', 'century', 'Great', 'Britain', 'as', 'Oliver', 'Twist', 'was']
The characters in this film are middle and lower class	['The', 'characters', 'in', 'this', 'film', 'are', 'middle', 'and', 'lower', 'class']
The Cratchits are a couple of rungs above the street people in Oliver Twist, but they are having to struggle to stay up there	['The', 'Cratchits', 'are', 'a', 'couple', 'of', 'rungs', 'above', 'the', 'street', 'people', 'in', 'Oliver', 'Twist', ',', 'but', 'they', 'are', 'having', 'to', 'struggle', 'to', 'stay', 'up', 'there']
Still love and happiness radiate their home, no thanks to the guy Bob Cratchit works for	['Still', 'love', 'and', 'happiness', 'radiate', 'their', 'home', ',', 'no', 'thanks', 'to', 'the', 'guy', 'Bob', 'Cratchit', 'works', 'for']
<br /><br />Like George Bailey who did a whole lot of good in his life and just had to be reminded how much, Ebenezer Scrooge needed a wake up call as to the potentiality he still had for doing some good in this old world	['<', 'br', '/', '>', '<', 'br', '/', '>', 'Like', 'George', 'Bailey', 'who', 'did', 'a', 'whole', 'lot', 'of', 'good', 'in', 'his', 'life', 'and', 'just', 'had', 'to', 'be', 'reminded', 'how', 'much', ',', 'Ebenezer', 'Scrooge', 'needed', 'a', 'wake', 'up', 'call', 'as', 'to', 'the', 'potentiality', 'he', 'still', 'had', 'for', 'doing', 'some', 'good', 'in', 'this', 'old', 'world']
<br /><br />Patrick Stewart in his live performances and filmed play has pretty much taken over the part of Scrooge	['<', 'br', '/', '>', '<', 'br', '/', '>', 'Patrick', 'Stewart', 'in', 'his', 'live', 'performances', 'and', 'filmed', 'play', 'has', 'pretty', 'much', 'taken', 'over', 'the', 'part', 'of', 'Scrooge']
Scott captures the old miser pretty well in this film	['Scott', 'captures', 'the', 'old', 'miser', 'pretty', 'well', 'in', 'this', 'film']
The meanness of him, but with a trace of sadness that makes us root for him to change	['The', 'meanness', 'of', 'him', ',', 'but', 'with', 'a', 'trace', 'of', 'sadness', 'that', 'makes', 'us', 'root', 'for', 'him', 'to', 'change']
Scott joins a fine tradition of people like Reginald Owen and Alastair Sim who've both done great interpretations of Scrooge	['Scott', 'joins', 'a', 'fine', 'tradition', 'of', 'people', 'like', 'Reginald', 'Owen', 'and', 'Alastair', 'Sim', 'who', "'ve", 'both', 'done', 'great', 'interpretations', 'of', 'Scrooge']
<br /><br />Among the supporting roles I particularly enjoyed David Warner as Bob Cratchit and Edward Woodward as a hearty and stern spirit of Christmas present	['<', 'br', '/', '>', '<', 'br', '/', '>', 'Among', 'the', 'supporting', 'roles', 'I', 'particularly', 'enjoyed', 'David', 'Warner', 'as', 'Bob', 'Cratchit', 'and', 'Edward', 'Woodward', 'as', 'a', 'hearty', 'and', 'stern', 'spirit', 'of', 'Christmas', 'present']
<br /><br />According to IMDb this is one of 32 versions of A Christmas Carol made that they have archived and it is one of the best	['<', 'br', '/', '>', '<', 'br', '/', '>', 'According', 'to', 'IMDb', 'this', 'is', 'one', 'of', '32', 'versions', 'of', 'A', 'Christmas', 'Carol', 'made', 'that', 'they', 'have', 'archived', 'and', 'it', 'is', 'one', 'of', 'the', 'best']
I would never have thought I would almost cry viewing one minute excerpted from a 1920 black and white movie without sound	['I', 'would', 'never', 'have', 'thought', 'I', 'would', 'almost', 'cry', 'viewing', 'one', 'minute', 'excerpted', 'from', 'a', '1920', 'black', 'and', 'white', 'movie', 'without', 'sound']
Thanks to Martin Scorsese I did (the movie was from F	['Thanks', 'to', 'Martin', 'Scorsese', 'I', 'did', '(', 'the', 'movie', 'was', 'from', 'F']
You will start to understand (if it's not already the case), what makes a good movie	['You', 'will', 'start', 'to', 'understand', '(', 'if', 'it', "'s", 'not', 'already', 'the', 'case', ')', ',', 'what', 'makes', 'a', 'good', 'movie']
Unlike like some of the pumped up, steroid trash that is passed off as action movies, Playing God is simple and realistic, with characters that are believable, action that is not over the top and enough twists and turns to keep you interested until the end	['Unlike', 'like', 'some', 'of', 'the', 'pumped', 'up', ',', 'steroid', 'trash', 'that', 'is', 'passed', 'off', 'as', 'action', 'movies', ',', 'Playing', 'God', 'is', 'simple', 'and', 'realistic', ',', 'with', 'characters', 'that', 'are', 'believable', ',', 'action', 'that', 'is', 'not', 'over', 'the', 'top', 'and', 'enough', 'twists', 'and', 'turns', 'to', 'keep', 'you', 'interested', 'until', 'the', 'end']
<br /><br />Well directed, well acted and a good story	['<', 'br', '/', '>', '<', 'br', '/', '>', 'Well', 'directed', ',', 'well', 'acted', 'and', 'a', 'good', 'story']
I have to admit that I went into Fever Pitch with low expectations	['I', 'have', 'to', 'admit', 'that', 'I', 'went', 'into', 'Fever', 'Pitch', 'with', 'low', 'expectations']
It's no huge revelation for me to say that Jimmy Fallon's last movie (Taxi) was Catwomanly bad, and the trailers for Fever Pitch were all right but didn't mesmerize me	['It', "'s", 'no', 'huge', 'revelation', 'for', 'me', 'to', 'say', 'that', 'Jimmy', 'Fallon', "'s", 'last', 'movie', '(', 'Taxi', ')', 'was', 'Catwomanly', 'bad', ',', 'and', 'the', 'trailers', 'for', 'Fever', 'Pitch', 'were', 'all', 'right', 'but', 'did', "n't", 'mesmerize', 'me']
I was already preparing some cheesy baseball puns for my review	['I', 'was', 'already', 'preparing', 'some', 'cheesy', 'baseball', 'puns', 'for', 'my', 'review']
<br /><br />"I like Jimmy Fallon, but Taxi was strike one in his movie career	['<', 'br', '/', '>', '<', 'br', '/', '>', "''", 'I', 'like', 'Jimmy', 'Fallon', ',', 'but', 'Taxi', 'was', 'strike', 'one', 'in', 'his', 'movie', 'career']
Well, now we've got steeeeee-riiiiiike twoooooooo! One more strike, and it's back to SNL!" or "Buy yourself some peanuts and cracker jacks, but don't buy tickets to Fever Pitch	['Well', ',', 'now', 'we', "'ve", 'got', 'steeeeee-riiiiiike', 'twoooooooo', '!', 'One', 'more', 'strike', ',', 'and', 'it', "'s", 'back', 'to', 'SNL', '!', "''", 'or', '``', 'Buy', 'yourself', 'some', 'peanuts', 'and', 'cracker', 'jacks', ',', 'but', 'do', "n't", 'buy', 'tickets', 'to', 'Fever', 'Pitch']
You'll walk out of the theater and never go back!" Then the movie had to go and be way more entertaining than I was expecting	['You', "'ll", 'walk', 'out', 'of', 'the', 'theater', 'and', 'never', 'go', 'back', '!', "''", 'Then', 'the', 'movie', 'had', 'to', 'go', 'and', 'be', 'way', 'more', 'entertaining', 'than', 'I', 'was', 'expecting']
But hey, I couldn't let my puns go to waste, right? Another reason I thought I wouldn't care for the movie is that I hate the Boston Red Sox	['But', 'hey', ',', 'I', 'could', "n't", 'let', 'my', 'puns', 'go', 'to', 'waste', ',', 'right', '?', 'Another', 'reason', 'I', 'thought', 'I', 'would', "n't", 'care', 'for', 'the', 'movie', 'is', 'that', 'I', 'hate', 'the', 'Boston', 'Red', 'Sox']
The mere mention of Pedro Martinez' name sends me running to the bathroom	['The', 'mere', 'mention', 'of', 'Pedro', 'Martinez', "'", 'name', 'sends', 'me', 'running', 'to', 'the', 'bathroom']
Louis Cardinals fan, still believes the World Series was rigged last year	['Louis', 'Cardinals', 'fan', ',', 'still', 'believes', 'the', 'World', 'Series', 'was', 'rigged', 'last', 'year']
She refuses to believe the Sox won it legitimately	['She', 'refuses', 'to', 'believe', 'the', 'Sox', 'won', 'it', 'legitimately']
But I'm man enough to admit that Fever Pitch caused me to sympathize, albeit only slightly, with the plight of Red Sox fans	['But', 'I', "'m", 'man', 'enough', 'to', 'admit', 'that', 'Fever', 'Pitch', 'caused', 'me', 'to', 'sympathize', ',', 'albeit', 'only', 'slightly', ',', 'with', 'the', 'plight', 'of', 'Red', 'Sox', 'fans']
<br /><br />Anybody who has a passion for sports will be able to relate to this movie on some level	['<', 'br', '/', '>', '<', 'br', '/', '>', 'Anybody', 'who', 'has', 'a', 'passion', 'for', 'sports', 'will', 'be', 'able', 'to', 'relate', 'to', 'this', 'movie', 'on', 'some', 'level']
Unless you have a favorite sports team you can't fully understand the extreme highs and lows that a fan such as Fallon's Ben can go through	['Unless', 'you', 'have', 'a', 'favorite', 'sports', 'team', 'you', 'ca', "n't", 'fully', 'understand', 'the', 'extreme', 'highs', 'and', 'lows', 'that', 'a', 'fan', 'such', 'as', 'Fallon', "'s", 'Ben', 'can', 'go', 'through']
There's nothing quite so fresh as the smell of a new season and nothing quite so smooth as a clean slate	['There', "'s", 'nothing', 'quite', 'so', 'fresh', 'as', 'the', 'smell', 'of', 'a', 'new', 'season', 'and', 'nothing', 'quite', 'so', 'smooth', 'as', 'a', 'clean', 'slate']
"Wait 'til next year," becomes your mantra, your motto, your prayer - and Fever Pitch effectively captures that essence	['``', 'Wait', "'til", 'next', 'year', ',', "''", 'becomes', 'your', 'mantra', ',', 'your', 'motto', ',', 'your', 'prayer', '-', 'and', 'Fever', 'Pitch', 'effectively', 'captures', 'that', 'essence']
<br /><br />I love the fact that the movie takes a fictional story and throws it against the real-life backdrop of the Red Sox' improbable World Series run last year	['<', 'br', '/', '>', '<', 'br', '/', '>', 'I', 'love', 'the', 'fact', 'that', 'the', 'movie', 'takes', 'a', 'fictional', 'story', 'and', 'throws', 'it', 'against', 'the', 'real-life', 'backdrop', 'of', 'the', 'Red', 'Sox', "'", 'improbable', 'World', 'Series', 'run', 'last', 'year']
I don't love it so much that I want to marry it, but you know what I mean	['I', 'do', "n't", 'love', 'it', 'so', 'much', 'that', 'I', 'want', 'to', 'marry', 'it', ',', 'but', 'you', 'know', 'what', 'I', 'mean']
I expected this to be handled in a fairly cheesy manner, and while some of the humor is a little silly, it's actually pretty realistic	['I', 'expected', 'this', 'to', 'be', 'handled', 'in', 'a', 'fairly', 'cheesy', 'manner', ',', 'and', 'while', 'some', 'of', 'the', 'humor', 'is', 'a', 'little', 'silly', ',', 'it', "'s", 'actually', 'pretty', 'realistic']
<br /><br />You see, Ben's uncle took him to his first Red Sox game when he was 7 years old, and when he died he left Ben his two season tickets	['<', 'br', '/', '>', '<', 'br', '/', '>', 'You', 'see', ',', 'Ben', "'s", 'uncle', 'took', 'him', 'to', 'his', 'first', 'Red', 'Sox', 'game', 'when', 'he', 'was', '7', 'years', 'old', ',', 'and', 'when', 'he', 'died', 'he', 'left', 'Ben', 'his', 'two', 'season', 'tickets']
At the beginning of each season he has a draft day where he and his friends get together to figure out who gets to go to which games with him	['At', 'the', 'beginning', 'of', 'each', 'season', 'he', 'has', 'a', 'draft', 'day', 'where', 'he', 'and', 'his', 'friends', 'get', 'together', 'to', 'figure', 'out', 'who', 'gets', 'to', 'go', 'to', 'which', 'games', 'with', 'him']
He makes everybody dance for the Yankees games and whenever somebody complains he threatens them with tickets for the games with the Royals (sorry Mr	['He', 'makes', 'everybody', 'dance', 'for', 'the', 'Yankees', 'games', 'and', 'whenever', 'somebody', 'complains', 'he', 'threatens', 'them', 'with', 'tickets', 'for', 'the', 'games', 'with', 'the', 'Royals', '(', 'sorry', 'Mr']
It's a very good scene, and it works so well because I actually know of people who do the "ticket draft day	['It', "'s", 'a', 'very', 'good', 'scene', ',', 'and', 'it', 'works', 'so', 'well', 'because', 'I', 'actually', 'know', 'of', 'people', 'who', 'do', 'the', '``', 'ticket', 'draft', 'day']
